D,S1,S1_bot_bot,S2,S3,S4,S5,ProposedLTB,ProposedLTT2,Rahimi,Sanyal,Chen,ZZhu,Zhu,Conventional,Yuan12,Yuan15,Zhao,Jajodia,Hu,Du
89.0,62.732421875,62.732421875,147.482421875,139.73291015625,75.73291015625,96.60791015625,147.482421875,317.732421875,62.982421875,153.1494140625,168.6494140625,30.1494140625,125.4658203125,761.931640625,39.4658203125,51.732421875,30.3994140625,158.73291015625,62.73291015625,1111.788330078125
90.0,63.14453125,63.14453125,147.89453125,139.89501953125,75.89501953125,96.52001953125,147.89453125,317.14453125,63.14453125,153.5615234375,169.0615234375,30.3115234375,126.2900390625,763.580078125,39.7900390625,51.89453125,30.5615234375,159.14501953125,63.14501953125,1112.788330078125
91.0,63.14453125,63.14453125,147.89453125,139.89501953125,75.89501953125,96.52001953125,147.89453125,317.14453125,63.14453125,153.5615234375,169.0615234375,30.3115234375,126.2900390625,763.580078125,39.7900390625,51.89453125,30.5615234375,159.14501953125,63.14501953125,1111.966064453125
92.0,63.5546875,63.5546875,147.8046875,140.05517578125,76.05517578125,96.43017578125,147.8046875,317.5546875,63.5546875,153.9716796875,169.4716796875,30.4716796875,127.1103515625,765.220703125,40.1103515625,52.0546875,30.7216796875,159.55517578125,63.55517578125,1112.966064453125
93.0,63.5546875,63.5546875,147.8046875,140.05517578125,76.05517578125,96.43017578125,147.8046875,317.5546875,63.5546875,153.9716796875,169.4716796875,30.4716796875,127.1103515625,765.220703125,40.1103515625,52.0546875,30.7216796875,159.55517578125,63.55517578125,1112.147705078125
94.0,63.962890625,63.962890625,148.212890625,140.21337890625,76.21337890625,96.33837890625,148.212890625,318.962890625,64.212890625,154.3798828125,169.8798828125,30.6298828125,127.9267578125,766.853515625,40.4267578125,52.212890625,30.8798828125,159.96337890625,63.96337890625,1113.147705078125
95.0,63.962890625,63.962890625,148.212890625,140.21337890625,76.21337890625,96.33837890625,148.212890625,318.962890625,64.212890625,154.3798828125,169.8798828125,30.6298828125,127.9267578125,766.853515625,40.4267578125,52.212890625,30.8798828125,159.96337890625,63.96337890625,1112.333251953125
96.0,64.369140625,64.369140625,148.119140625,140.36962890625,76.36962890625,96.24462890625,148.119140625,319.369140625,64.619140625,154.7861328125,170.2861328125,30.7861328125,128.7392578125,768.478515625,40.7392578125,52.369140625,31.0361328125,160.36962890625,64.36962890625,1113.333251953125
97.0,64.369140625,64.369140625,148.119140625,140.36962890625,76.36962890625,96.24462890625,148.119140625,319.369140625,64.619140625,154.7861328125,170.2861328125,30.7861328125,128.7392578125,768.478515625,40.7392578125,52.369140625,31.0361328125,160.36962890625,64.36962890625,1112.522705078125
98.0,64.7734375,64.7734375,148.5234375,140.52392578125,76.52392578125,96.14892578125,148.5234375,318.7734375,64.7734375,155.1904296875,170.6904296875,30.9404296875,129.5478515625,770.095703125,41.0478515625,52.5234375,31.1904296875,160.77392578125,64.77392578125,1113.522705078125
